county_name,aged,blind,disabled,tanf__afdc__under_21,tanf__afdc__21_and_over,other_child,pregnant_women,family_planning,infants_and_children,mchip,mqbq,mqbb,mqbe,bcc,refugees,legal_aliens,illegal_aliens,county_total,chip,month,documented_aliens,undocumented_aliens,chip_extended_coverage,countyname,family_planning_waiver,year,my_date,july_2016_estimate,estimate,pov_percent,births,n_hospitals,n_beds
Alamance,2123,24,4664,8747,2817,59,358,2491,7193,2534,136,718,466,14,NA,143,NA,32487,1626,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,159054,28123,0.17681416374313128,11084,1,238
Alexander,500,4,939,1813,722,36,90,631,1345,501,45,214,138,NA,NA,10,NA,6988,470,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,38284,6240,0.16299237279281162,2215,0,NA
Alleghany,219,1,395,559,213,9,24,181,549,168,19,101,53,NA,NA,2,NA,2493,129,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,11202,2089,0.18648455632922692,592,1,41
Anson,564,10,1337,1851,642,10,77,654,1313,347,26,286,133,NA,NA,5,NA,7255,168,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,25628,5484,0.21398470422974872,1598,1,15
Ashe,623,6,943,1015,444,22,47,433,1057,395,68,253,107,NA,NA,6,NA,5419,354,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,27344,5290,0.19346108835576362,1474,1,76
Avery,364,2,498,617,235,22,22,94,611,250,27,87,50,NA,NA,NA,NA,2879,226,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,18098,2509,0.13863410321582495,902,1,50
Beaufort,944,9,2294,2996,1163,33,108,674,2172,651,57,307,158,4,NA,9,NA,11579,469,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,47610,8215,0.172547784078975,3048,1,142
Bertie,660,10,1329,1304,444,3,44,561,768,261,54,228,87,1,NA,4,NA,5758,169,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,19847,3992,0.2011387111402227,1144,1,6
Bladen,820,10,1773,2396,863,4,72,814,1554,539,45,245,136,2,NA,5,NA,9278,348,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,34667,9549,0.2754492745262065,2233,1,58
Brunswick,1238,24,3194,5956,2555,40,153,2128,4180,1297,90,451,263,9,NA,25,1,21604,904,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,127750,17992,0.14083757338551858,6505,2,174
Buncombe,3316,41,7840,8853,3567,203,464,3831,8980,3558,253,1097,667,31,15,517,6,43239,2594,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,258406,35996,0.13930017104865985,16242,1,730
Burke,1260,19,2886,5152,1924,131,204,1755,3763,1398,114,574,322,1,NA,57,NA,19560,976,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,89814,17135,0.19078317411539403,5448,1,315
Cabarrus,1620,21,4046,8753,3066,33,387,3583,8398,2984,122,578,360,10,2,320,5,34288,2267,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,200663,22324,0.1112512022644932,14680,1,447
Caldwell,1250,14,2804,5357,2026,76,188,2440,3422,1184,125,769,394,5,1,61,1,20117,902,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,82793,14137,0.17075115045957992,5034,1,110
Camden,78,2,185,243,102,2,16,137,227,78,6,27,17,1,NA,4,NA,1125,69,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,10287,1060,0.10304267522115292,565,0,NA
Carteret,787,4,1778,2439,1042,67,114,1791,2123,664,89,295,190,4,NA,10,NA,11397,538,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,69881,8869,0.1269157567865371,3827,1,135
Caswell,533,7,882,1388,555,4,46,509,898,301,35,191,102,3,NA,1,NA,5455,179,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,23689,4888,0.20634049558866985,1289,0,NA
Catawba,1977,30,4206,7415,2688,141,386,2181,7159,2662,139,825,508,13,1,222,4,30557,1894,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,156473,24269,0.15510024093613595,11036,2,613
Chatham,623,5,1112,2030,616,71,81,769,2441,833,56,238,160,NA,NA,63,6,9104,639,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,73286,9185,0.1253308953961193,3943,1,25
Cherokee,600,5,1091,1310,511,28,58,1048,1253,394,47,249,121,2,NA,5,NA,6722,311,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,28591,5247,0.18351928928683853,1389,1,57
Chowan,342,4,642,769,290,3,23,425,611,186,22,86,47,NA,NA,2,1,3453,135,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,14410,3491,0.24226231783483693,945,1,89
Clay,232,4,350,430,186,25,21,188,451,138,13,69,33,1,NA,8,NA,2149,116,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,11320,1731,0.15291519434628975,521,0,NA
Cleveland,1746,20,4550,7672,3205,129,208,2073,4692,1355,130,834,444,2,NA,17,NA,27077,783,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,98244,19866,0.20221082203493343,6749,2,288
Columbus,1498,14,3201,4936,1690,58,147,1343,2770,759,88,404,195,1,NA,7,NA,17111,564,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,57182,12443,0.21760344164247492,3935,1,154
Craven,1191,18,3095,4573,1746,35,177,1578,3754,1144,84,386,181,4,7,592,NA,18565,753,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,103737,15205,0.1465725825886617,9726,1,350
Cumberland,3750,59,13066,23098,9810,520,852,8314,14022,3856,169,877,474,12,3,284,NA,79166,2461,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,329824,55235,0.16746810420102842,35509,2,666
Currituck,150,2,457,684,267,14,28,229,627,221,23,45,44,1,NA,5,NA,2797,153,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,26101,2468,0.09455576414696755,1530,0,NA
Dare,228,1,536,1131,360,9,62,458,1136,554,23,83,66,3,NA,22,NA,4672,419,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,36387,2885,0.07928655838623684,2237,1,21
Davidson,2090,23,4778,8334,3097,46,350,2186,7146,2622,176,913,544,8,NA,69,3,32385,1656,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,166137,26221,0.15782757603664446,10825,2,240
Davie,428,2,867,1830,656,13,67,561,1401,498,41,181,112,NA,NA,7,2,6666,407,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,42211,5735,0.13586505887091044,2401,1,50
Duplin,1067,8,1992,3957,1034,26,121,1133,3799,1069,54,289,152,3,1,91,2,14798,787,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,59597,16106,0.27024850244139803,4755,1,101
Durham,2643,31,8144,13835,4358,132,430,4774,12366,3588,91,609,297,6,53,968,13,52338,2776,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,301520,48907,0.16220151233749006,26845,3,1330
Edgecombe,1476,15,3558,5876,2312,35,122,1618,2988,718,51,470,207,7,NA,4,1,19458,445,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,53502,13750,0.25699973832753914,4041,1,117
Forsyth,3913,90,10974,20220,6605,93,668,5739,18521,5217,244,1288,713,14,17,572,4,74892,3241,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,369144,69253,0.18760429534273887,28382,4,1878
Franklin,866,9,1920,3184,1019,31,140,1436,2740,980,70,324,166,2,NA,35,1,12923,726,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,65445,9967,0.15229582091832836,4245,0,NA
Gaston,3082,40,7749,13049,5139,154,460,3959,8996,2923,200,1254,685,11,1,124,NA,47826,1728,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,215489,35812,0.1661894574665064,15799,1,435
Gates,176,2,357,544,191,NA,16,166,336,133,14,60,22,NA,NA,1,NA,2018,99,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,11891,1391,0.11697922798755361,674,0,NA
Graham,239,1,356,638,203,NA,12,188,392,102,14,68,43,1,NA,NA,NA,2257,108,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,8835,1650,0.1867572156196944,557,0,NA
Granville,747,9,1500,2576,1e3,42,98,1179,2079,797,57,253,136,2,NA,27,1,10503,634,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,59433,9109,0.1532650211162149,3525,1,142
Greene,364,5,778,1237,380,6,52,402,1207,374,11,83,61,NA,NA,2,1,4963,319,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,21421,4646,0.21688996778861863,1367,0,NA
Guilford,5976,85,15342,31176,9949,337,1124,10800,23166,6678,329,1819,982,21,61,2699,4,110548,4516,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,520230,87165,0.1675508909520789,38193,4,1219
Halifax,1812,18,4086,3946,1274,12,149,1237,2595,680,88,533,251,3,1,25,NA,16710,500,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,52160,13782,0.2642254601226994,3640,2,304
Harnett,1479,14,3599,6879,2386,51,287,2370,5579,1665,60,488,288,2,NA,106,NA,25253,1228,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,128783,22461,0.17440966587204834,11425,2,151
Haywood,1100,16,2236,2973,1335,46,159,1411,2380,824,90,374,215,8,NA,41,NA,13208,549,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,61771,9851,0.15947612957536708,3527,1,169
Henderson,1327,3,2627,3539,1177,71,202,689,4606,1576,90,415,205,9,NA,92,NA,16628,1226,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,114385,14559,0.12728067491366876,6692,2,325
Hertford,722,4,1348,1743,678,1,57,644,1103,313,42,203,105,1,NA,7,NA,6971,153,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,24038,5217,0.21703136700224646,1481,1,114
Hoke,644,6,1739,4716,1516,31,101,1346,2512,586,38,208,102,2,NA,15,6,13568,289,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,52214,11545,0.22110928103573754,5908,2,49
Hyde,154,1,188,372,132,NA,2,69,167,48,5,28,21,1,NA,1,NA,1189,38,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,5621,1108,0.19711795054260808,310,0,NA
Iredell,1491,19,3689,6720,2661,112,336,2554,5875,2203,126,619,406,1,NA,139,2,26953,1711,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,173391,22114,0.127538338206712,11266,3,500
Jackson,569,6,1062,2048,830,21,65,553,1404,490,52,195,96,3,NA,12,NA,7406,361,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,42574,8646,0.20308169305209753,2454,1,86
Johnston,2182,32,5113,9700,3435,52,364,4502,9174,3200,185,728,418,4,NA,341,NA,39430,2340,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,189460,26272,0.13866779267391535,14074,1,177
Jones,277,4,453,536,221,4,24,141,388,137,14,75,37,4,NA,5,NA,2320,87,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,10354,2285,0.22068765694417616,614,0,NA
Lee,841,7,1916,3581,1239,38,143,1543,3606,1155,50,295,159,1,NA,110,NA,14684,845,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,59244,10673,0.1801532644655999,4996,1,137
Lenoir,1428,23,3261,4584,1719,25,113,1222,3001,898,95,372,199,2,NA,17,NA,16959,537,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,57587,12614,0.21904249222914893,4136,1,261
Lincoln,904,6,2009,3929,1572,58,143,1522,2699,1026,71,399,224,5,NA,115,NA,14682,694,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,82033,11907,0.14514890349005888,4893,1,101
Macon,545,3,1109,1455,555,13,65,701,1745,522,36,197,107,NA,NA,11,NA,7064,453,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,35047,6183,0.1764202356835107,2099,2,167
Madison,540,6,864,1001,451,47,41,254,813,288,20,71,44,4,NA,2,NA,4446,271,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,21979,3337,0.1518267437099049,1221,0,NA
Martin,621,15,1153,1532,574,22,54,514,1015,285,42,182,82,2,NA,5,1,6099,221,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,23606,4721,0.19999152757773447,1526,1,49
Mcdowell,790,7,1742,2775,1052,58,128,722,1982,595,73,385,213,2,NA,11,2,10537,509,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,NA,NA,NA,NA,0,NA
Mecklenburg,9775,153,22715,55161,18761,392,1527,28602,42946,13295,467,2452,1315,38,83,5303,1,202986,7517,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,1053545,141024,0.13385664589552415,88521,8,2279
Mitchell,362,4,553,702,290,44,27,247,577,216,33,165,78,2,NA,9,NA,3309,192,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,15266,2688,0.17607755797196384,889,1,46
Montgomery,563,5,962,1720,611,13,60,625,1537,578,43,233,130,NA,NA,24,1,7105,451,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,27768,5821,0.20962978968596946,2008,1,37
Moore,1114,10,2246,3631,1561,25,144,1325,3160,965,98,378,194,1,1,20,NA,14873,690,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,96102,13478,0.14024682108592954,6281,1,372
Nash,1740,23,4097,5935,2158,23,250,2717,4406,1451,60,586,275,19,NA,41,2,23783,974,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,94421,16057,0.17005750839325998,6783,1,353
New Hanover,2086,27,5956,9048,3404,293,305,2821,6567,1917,129,667,407,8,NA,166,NA,33801,1175,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,223608,37167,0.16621498336374368,14110,1,769
Northampton,660,7,1298,1616,636,5,34,649,795,218,23,177,83,3,NA,1,NA,6205,120,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,20788,5616,0.27015585914950935,1162,0,NA
Onslow,1364,25,4439,8753,3862,266,438,4158,6762,1911,110,427,249,3,NA,150,NA,32917,1100,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,193914,23890,0.12319894386171189,26847,1,162
Orange,935,14,2347,3394,1355,47,144,1437,3259,1175,64,253,137,NA,8,756,NA,15325,993,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,140853,18713,0.13285482027361858,7703,1,778
Pamlico,227,1,390,687,271,12,12,165,362,100,11,72,26,1,NA,NA,NA,2337,107,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,13336,1773,0.13294841031793642,567,0,NA
Pasquotank,617,10,1464,2199,871,7,117,1147,1888,529,59,183,97,3,NA,19,NA,9210,369,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,40284,6521,0.16187568265316254,3114,1,182
Pender,802,7,1697,3039,1344,33,83,1553,2410,685,45,254,171,1,NA,28,NA,12152,525,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,59459,10304,0.17329588455910797,3808,1,86
Perquimans,248,2,483,635,259,3,32,216,488,135,24,85,59,NA,NA,1,NA,2670,145,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,13561,2208,0.16281985104343338,799,0,NA
Person,737,2,1339,2210,905,32,85,883,1461,487,51,293,144,3,NA,29,NA,8661,380,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,39728,7127,0.17939488521949254,2577,1,110
Pitt,2342,44,7216,9477,3515,112,359,3706,7365,2321,125,640,325,6,NA,92,NA,37645,1477,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,175885,41412,0.23544929925803793,13332,1,909
Polk,287,3,482,696,240,22,37,208,672,221,26,78,60,3,NA,17,NA,3052,177,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,21030,2902,0.13799334284355683,870,1,55
Randolph,1914,23,4335,7863,2916,44,304,2182,7205,2498,179,859,525,7,NA,188,NA,31042,1798,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,143711,23757,0.16531093653234616,10015,1,145
Richmond,929,9,2763,4168,1682,10,135,1511,2707,692,60,459,205,3,NA,33,1,15367,446,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,44912,11443,0.2547871392946206,3426,1,99
Robeson,3307,37,8376,14268,5484,69,373,4377,8854,2293,180,959,572,6,NA,26,1,49182,1339,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,132657,40313,0.3038889768349955,11709,1,452
Rockingham,1670,15,3873,5641,2099,107,181,1069,4045,1259,172,745,443,4,NA,32,NA,21355,749,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,91891,17517,0.1906280266837884,5835,2,339
Rowan,1785,28,4572,9148,3562,88,247,2786,6285,2068,124,685,455,7,1,108,NA,31949,1275,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,140970,24142,0.1712562956657445,9761,1,268
Rutherford,1144,10,2746,3744,1493,72,203,1489,2803,932,102,464,275,10,NA,24,1,15512,730,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,67703,12668,0.18711135400203832,4257,1,143
Sampson,1350,14,2357,5079,1444,51,150,1707,3847,1085,94,427,239,NA,NA,67,NA,17911,820,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,63499,15207,0.23948408636356477,5295,1,146
Scotland,750,11,2267,3877,1502,1,103,1006,1971,426,67,294,188,NA,NA,12,NA,12475,268,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,35789,10480,0.2928274050685965,2849,1,104
Stanly,852,11,1791,2640,1083,11,171,1191,2700,883,82,333,216,4,NA,27,NA,11995,724,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,61751,10047,0.16270181859403088,4149,0,NA
Stokes,656,7,1316,2231,859,28,86,439,1450,444,54,306,156,3,NA,7,NA,8042,338,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,46751,7052,0.15084169322581334,2511,1,93
Surry,1428,11,2638,3685,1346,17,153,1087,3679,1105,149,608,339,3,NA,66,NA,16314,949,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,72843,12801,0.1757341130925415,4765,2,353
Swain,331,1,622,1287,495,85,34,282,671,244,26,108,45,1,NA,1,NA,4233,191,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,14852,3277,0.2206436843522758,1239,1,48
Transylvania,399,3,926,1514,564,31,69,424,1156,396,40,162,92,3,NA,8,NA,5787,334,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,34139,4598,0.13468467149008465,1690,1,92
Tyrrell,122,NA,144,181,49,NA,8,83,190,64,2,39,10,1,NA,7,NA,900,55,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,4136,905,0.21881044487427467,266,0,NA
Union,1474,14,3199,7548,2485,55,295,2693,7671,2922,97,429,272,13,16,391,NA,29574,2266,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,223915,20772,0.09276734475135655,14854,1,182
Vance,1139,7,3098,4478,1709,7,139,1614,3011,867,62,360,201,9,NA,11,NA,16712,581,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,44945,11177,0.24868172210479475,3550,1,102
Wake,6449,135,15025,30613,9855,326,1147,15833,29910,10878,307,1473,702,20,38,3506,20,126237,7924,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,1026748,105133,0.10239416098205208,78745,5,1574
Warren,612,8,1048,1200,386,4,56,212,878,290,23,163,87,1,NA,3,NA,4971,236,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,20121,4662,0.23169822573430743,1156,0,NA
Washington,319,6,746,917,362,6,33,411,679,146,27,70,34,1,NA,2,NA,3759,106,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,12425,2916,0.2346881287726358,800,1,49
Watauga,418,7,714,799,286,34,56,380,1042,365,26,137,74,2,NA,5,NA,4345,410,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,54992,14797,0.2690755018911842,2217,1,117
Wayne,1872,34,5134,9284,3114,65,259,3192,6474,1901,88,680,332,3,3,205,2,32642,1232,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,124808,26475,0.21212582526761106,10606,1,316
Wilkes,1235,15,2613,3545,1319,241,136,381,3114,971,105,541,314,2,NA,36,NA,14568,842,AUG,NA,NA,NA,NA,NA,2017,2017-08-01,70027,14278,0.203892784211804,4272,1,144
